Platform Type	Center	Platform	Level	Sample	Barcode	File Name
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0DQ-11	TCGA-BH-A0DQ-11A-12R-A089-07	unc.edu.2b11e565-01a8-4054-a200-03e06765bd5e.1174035.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A18Q-01	TCGA-BH-A18Q-01A-12R-A12D-07	unc.edu.2c75afc3-11b5-444d-b6e0-61d76b299f40.1130807.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FE-01	TCGA-BH-A1FE-01A-11R-A13Q-07	unc.edu.2cb3a793-6e37-42fd-a544-65aa2d939d50.1122594.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A7-A0CE-11	TCGA-A7-A0CE-11A-21R-A089-07	unc.edu.2d5351f1-e9d7-44a3-ae43-f595a0151516.2319214.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FJ-11	TCGA-BH-A1FJ-11B-42R-A13Q-07	unc.edu.3078c384-b624-4f5a-ae36-fc896212e616.1134175.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0B7-11	TCGA-BH-A0B7-11A-34R-A115-07	unc.edu.30cee921-7fb5-4543-aeb6-ab3eaf669f84.1141812.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0BZ-01	TCGA-BH-A0BZ-01A-31R-A12P-07	unc.edu.317ffb84-f4a8-435b-907b-b05587d6515e.1136803.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0BC-11	TCGA-BH-A0BC-11A-22R-A089-07	unc.edu.32336250-dc07-4e96-9a6c-3c7094fd5342.1170155.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0B5-11	TCGA-BH-A0B5-11A-23R-A12P-07	unc.edu.35429f42-252a-4a9d-8e99-125f26019418.1123028.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0BS-01	TCGA-BH-A0BS-01A-11R-A12P-07	unc.edu.354c08e2-61d3-4cfa-9d26-76d74dcfe44f.1123418.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AC-A2FF-11	TCGA-AC-A2FF-11A-13R-A17B-07	unc.edu.3610639e-d947-446f-8483-86be65c80ed3.1127026.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FM-11	TCGA-BH-A1FM-11B-23R-A13Q-07	unc.edu.39ec3623-c15f-4af6-b2df-5413eec21bec.1130686.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1NF-11	TCGA-E9-A1NF-11A-73R-A14D-07	unc.edu.39f6a4d4-650f-4caf-a778-4a24af4f11ba.1173062.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FG-01	TCGA-BH-A1FG-01A-11R-A13Q-07	unc.edu.39fe5d50-f454-4f7b-b07b-1a59b5c828f9.1174628.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A18P-01	TCGA-BH-A18P-01A-11R-A12D-07	unc.edu.3b48796b-8591-4d7a-a502-5c4293647156.1130591.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0BA-11	TCGA-BH-A0BA-11A-22R-A19E-07	unc.edu.3bfd1811-bd2a-439d-8dde-237abcf855af.1375215.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A7-A0DB-11	TCGA-A7-A0DB-11A-33R-A089-07	unc.edu.3f3bdfbb-3490-42e4-9511-9df4b8a126a3.1174230.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0BQ-11	TCGA-BH-A0BQ-11A-33R-A115-07	unc.edu.4096c8a6-5ead-4410-8da1-a20b0f37cce8.1141379.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1RH-01	TCGA-E9-A1RH-01A-21R-A169-07	unc.edu.422a4277-12f1-42ae-9f94-88d37517b9b0.1129558.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A18V-01	TCGA-BH-A18V-01A-11R-A12D-07	unc.edu.429b50eb-316f-459c-bc3a-0aca6e6dba46.1131392.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FC-01	TCGA-BH-A1FC-01A-11R-A13Q-07	unc.edu.42e2160c-07b5-4be6-a989-1e3474926d2a.1123062.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0BJ-11	TCGA-BH-A0BJ-11A-23R-A089-07	unc.edu.4317b197-dc43-44f2-8854-557832570098.1169980.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E2-A158-01	TCGA-E2-A158-01A-11R-A12D-07	unc.edu.43326f71-c61c-410b-af4b-c71a054e27c9.1130962.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0BV-11	TCGA-BH-A0BV-11A-31R-A089-07	unc.edu.452bf9da-c065-4d95-8272-adce3684a9e9.1173054.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0DZ-01	TCGA-BH-A0DZ-01A-11R-A00Z-07	unc.edu.4543cecd-6333-473b-b5ce-96d33ab47706.1314877.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0DO-01	TCGA-BH-A0DO-01B-11R-A12D-07	unc.edu.46892fa4-f179-4991-99da-629d8cf936f6.1130853.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FN-11	TCGA-BH-A1FN-11A-34R-A13Q-07	unc.edu.48353101-484c-4d47-ae60-239d710ec00a.1133276.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E2-A15K-11	TCGA-E2-A15K-11A-13R-A12P-07	unc.edu.49a33b4d-4b1e-4b30-b0ba-a7c7d594db41.2224332.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0DH-11	TCGA-BH-A0DH-11A-31R-A089-07	unc.edu.4a8c96d9-b08d-4812-93ec-c8c9db8139aa.1172225.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0B5-01	TCGA-BH-A0B5-01A-11R-A12P-07	unc.edu.4b964043-f6dd-4f19-ab4c-439ee68ce2b0.1130707.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0DK-11	TCGA-BH-A0DK-11A-13R-A089-07	unc.edu.4c1d73ba-31f8-4652-a83d-cc367dde9f43.1172426.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1EV-01	TCGA-BH-A1EV-01A-11R-A137-07	unc.edu.4dac7a33-db46-4815-8c6c-fb326959c741.1130668.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A18M-01	TCGA-BH-A18M-01A-11R-A12D-07	unc.edu.4dfbdec6-1911-412c-9873-f6782ab8ff66.1131115.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E2-A15I-01	TCGA-E2-A15I-01A-21R-A137-07	unc.edu.4f3a68ee-00c8-44bd-b9d6-f3fa6dc4084c.1130733.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1RF-01	TCGA-E9-A1RF-01A-11R-A157-07	unc.edu.502939cc-3381-4bc2-9ae6-332846cf836b.1166832.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1ND-01	TCGA-E9-A1ND-01A-11R-A144-07	unc.edu.526da11e-9125-4fcd-98d7-02994c9783d1.1115678.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0C3-01	TCGA-BH-A0C3-01A-21R-A12P-07	unc.edu.52a863fe-b210-456b-9c2d-545277362b65.1130860.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E2-A1L7-11	TCGA-E2-A1L7-11A-33R-A144-07	unc.edu.53e9749e-5554-443b-b41e-5efade6fce7a.1120658.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A18R-11	TCGA-BH-A18R-11A-42R-A12D-07	unc.edu.5462aaff-d060-4ba7-9ab5-0e6977accb91.1132732.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1N4-01	TCGA-E9-A1N4-01A-11R-A14M-07	unc.edu.55b3f26e-8f8f-48b8-8c3a-4e648ac7e05a.1123760.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0BZ-11	TCGA-BH-A0BZ-11A-61R-A12P-07	unc.edu.561e0da7-0e2c-430c-8a54-c9a3535a1679.1130824.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FR-01	TCGA-BH-A1FR-01A-11R-A13Q-07	unc.edu.56d5aac4-62b4-43e4-b0e4-f40b19a5893f.1287165.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A18J-01	TCGA-BH-A18J-01A-11R-A12D-07	unc.edu.56d889ba-6484-4940-ae85-1373ce4255b9.1134188.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FC-11	TCGA-BH-A1FC-11A-32R-A13Q-07	unc.edu.58e94be5-2da2-4a96-944a-060f20216572.1170192.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0H7-01	TCGA-BH-A0H7-01A-13R-A056-07	unc.edu.5969d3bb-19fb-4bda-9483-db4791257b95.1123050.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1EW-01	TCGA-BH-A1EW-01A-11R-A137-07	unc.edu.59783c67-6446-44c1-b9b3-505470f54c82.1130371.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1R7-01	TCGA-E9-A1R7-01A-11R-A14M-07	unc.edu.5ac273e2-3a3f-48a6-8782-956587bab667.1101769.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FB-01	TCGA-BH-A1FB-01A-11R-A13Q-07	unc.edu.5b262ec0-72f2-4c54-820e-a39afad67212.1287302.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E2-A158-11	TCGA-E2-A158-11A-22R-A12D-07	unc.edu.5ba99650-56d2-4951-aa24-3d2fea3d1921.1132335.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0E0-11	TCGA-BH-A0E0-11A-13R-A089-07	unc.edu.5cc82d2c-f960-40c3-9b37-59e087563dc1.1170515.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1F6-01	TCGA-BH-A1F6-01A-11R-A13Q-07	unc.edu.5f5a884c-ffbd-401a-8689-baded1bdbe50.1289271.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0DQ-01	TCGA-BH-A0DQ-01A-11R-A084-07	unc.edu.6022db68-1e06-4974-b657-cd65aed560c4.1153119.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0H7-11	TCGA-BH-A0H7-11A-13R-A089-07	unc.edu.6136a15e-6c8f-44bc-85c2-c7cbf675cab0.1171075.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0DG-11	TCGA-BH-A0DG-11A-43R-A12P-07	unc.edu.61c8278b-4c06-4563-b1ac-97cceec76ca4.1124354.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0B8-11	TCGA-BH-A0B8-11A-41R-A089-07	unc.edu.61e357f3-e4e1-49b8-9e37-7e0ef5a29e23.1171276.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FE-11	TCGA-BH-A1FE-11B-14R-A13Q-07	unc.edu.64f3f52d-a484-49c6-9048-6eadedd2c2c5.1135787.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0BA-01	TCGA-BH-A0BA-01A-11R-A056-07	unc.edu.651d6ca6-8e1c-4c5a-b7f4-1af98b415561.1152678.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1RH-11	TCGA-E9-A1RH-11A-34R-A169-07	unc.edu.6574e15e-7e1f-4dca-899e-56e911f27848.1128690.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0C3-11	TCGA-BH-A0C3-11A-23R-A12P-07	unc.edu.65923c68-2c86-4b4d-abe2-5320c08bb68f.1130777.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E2-A1LH-01	TCGA-E2-A1LH-01A-11R-A14D-07	unc.edu.66f3892f-f4ec-412c-9c56-a9e9b56a15ee.1117815.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AC-A2FM-11	TCGA-AC-A2FM-11B-32R-A19W-07	unc.edu.68ec8441-f60a-4c80-8a9f-7609a0f81430.1888736.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FH-01	TCGA-BH-A1FH-01A-12R-A13Q-07	unc.edu.693a3c69-75bd-435d-874e-f3b90b7ed180.1144843.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-GI-A2C9-11	TCGA-GI-A2C9-11A-22R-A21T-07	unc.edu.69a8b5fd-7ca6-49d7-b16a-2beba16e40b1.1350852.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1NF-01	TCGA-E9-A1NF-01A-11R-A14D-07	unc.edu.69e0026c-c87c-4987-8e46-f94d21f6bfb6.1169468.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E2-A15K-06	TCGA-E2-A15K-06A-11R-A12P-07	unc.edu.69f0bc59-c026-40e2-a3b6-88fcde091a82.1131410.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A204-11	TCGA-BH-A204-11A-53R-A157-07	unc.edu.6b52803e-274b-4a1b-910f-2d307932bbb2.1133042.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0B3-01	TCGA-BH-A0B3-01A-11R-A056-07	unc.edu.6d2744ba-4817-482b-ad46-2e4e0897ad88.1153745.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0BV-01	TCGA-BH-A0BV-01A-11R-A00Z-07	unc.edu.6dc89d5b-7613-4a0f-bbdc-ba13f51d12cc.1153820.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A203-11	TCGA-BH-A203-11A-42R-A169-07	unc.edu.6e5015d8-55e8-448a-9663-7b8625f170ae.1130532.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-GI-A2C8-11	TCGA-GI-A2C8-11A-22R-A16F-07	unc.edu.6eaf6c1c-13d6-4293-aaa5-7d9aecf61db7.1094484.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0DP-11	TCGA-BH-A0DP-11A-12R-A089-07	unc.edu.6ff2976a-2570-409b-afde-b7d2e7f2e4ea.1171446.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FB-11	TCGA-BH-A1FB-11A-33R-A13Q-07	unc.edu.71899388-d223-4774-a1ce-3be260240b2c.1289433.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1EO-11	TCGA-BH-A1EO-11A-31R-A137-07	unc.edu.71cc9cf0-2992-4ac6-8642-6fdb66958fca.1136956.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0DP-01	TCGA-BH-A0DP-01A-21R-A056-07	unc.edu.72967b75-a711-425a-819d-dd673c5edc44.1151314.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-E9-A1RI-11	TCGA-E9-A1RI-11A-41R-A169-07	unc.edu.7391b882-0be5-45b0-aa01-43c3381a476d.1157741.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1FD-01	TCGA-BH-A1FD-01A-11R-A13Q-07	unc.edu.744ed141-8809-4bc9-90e6-74098383914e.1127351.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A0DT-11	TCGA-BH-A0DT-11A-12R-A12D-07	unc.edu.75ba5803-449e-4770-8105-b675af8e6907.1130886.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A7-A13G-11	TCGA-A7-A13G-11A-51R-A13Q-07	unc.edu.76f30f56-7b80-4938-b514-1e1c2d24ff66.1120619.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A18K-01	TCGA-BH-A18K-01A-11R-A12D-07	unc.edu.78e00469-0dd6-490e-93f1-068b9a386839.1132199.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A208-01	TCGA-BH-A208-01A-11R-A157-07	unc.edu.7a276d04-8f45-4c07-9c24-8b1f50a1202d.1126271.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A209-11	TCGA-BH-A209-11A-42R-A157-07	unc.edu.7a4e994d-ed10-45e7-9107-51dc02068963.1109989.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-BH-A1EV-11	TCGA-BH-A1EV-11A-24R-A137-07	unc.edu.7b234c36-729b-422d-8e2a-ebd42af74bce.1134202.rsem.genes.normalized_results
