PlatformType	Center	Platform	Level	Sample	Barcode	FileName
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5665-01	TCGA-A6-5665-01A-01R-1653-07	unc.edu.05cebc11-0dce-482c-893e-5b279ec67a78.1802808.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5665-01	TCGA-A6-5665-01A-01R-1653-07	unc.edu.05cebc11-0dce-482c-893e-5b279ec67a78.1802824.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5665-01	TCGA-A6-5665-01A-01R-1653-07	unc.edu.05cebc11-0dce-482c-893e-5b279ec67a78.1802825.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5665-01	TCGA-A6-5665-01A-01R-1653-07	unc.edu.05cebc11-0dce-482c-893e-5b279ec67a78.1802868.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6600-11	TCGA-AZ-6600-11A-01R-1774-07	unc.edu.0cae03e2-f9d7-42a6-9f78-16d177590270.1863881.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6600-11	TCGA-AZ-6600-11A-01R-1774-07	unc.edu.0cae03e2-f9d7-42a6-9f78-16d177590270.1864605.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6600-11	TCGA-AZ-6600-11A-01R-1774-07	unc.edu.0cae03e2-f9d7-42a6-9f78-16d177590270.1864606.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6600-11	TCGA-AZ-6600-11A-01R-1774-07	unc.edu.0cae03e2-f9d7-42a6-9f78-16d177590270.1864639.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6600-11	TCGA-AZ-6600-11A-01R-1774-07	unc.edu.0cae03e2-f9d7-42a6-9f78-16d177590270.1864640.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6600-11	TCGA-AZ-6600-11A-01R-1774-07	unc.edu.0cae03e2-f9d7-42a6-9f78-16d177590270.1864680.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3663-01	TCGA-AA-3663-01A-01R-1723-07	unc.edu.0d8e19e9-20fd-4b1a-98ea-2a7262b58c73.1784345.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3663-01	TCGA-AA-3663-01A-01R-1723-07	unc.edu.0d8e19e9-20fd-4b1a-98ea-2a7262b58c73.1784835.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3663-01	TCGA-AA-3663-01A-01R-1723-07	unc.edu.0d8e19e9-20fd-4b1a-98ea-2a7262b58c73.1784836.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3663-01	TCGA-AA-3663-01A-01R-1723-07	unc.edu.0d8e19e9-20fd-4b1a-98ea-2a7262b58c73.1784848.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3663-01	TCGA-AA-3663-01A-01R-1723-07	unc.edu.0d8e19e9-20fd-4b1a-98ea-2a7262b58c73.1784851.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3663-01	TCGA-AA-3663-01A-01R-1723-07	unc.edu.0d8e19e9-20fd-4b1a-98ea-2a7262b58c73.1785250.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5665-11	TCGA-A6-5665-11A-01R-1653-07	unc.edu.0eb5967b-472f-446b-8b04-a6c7480b166a.1802260.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5665-11	TCGA-A6-5665-11A-01R-1653-07	unc.edu.0eb5967b-472f-446b-8b04-a6c7480b166a.1802858.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5665-11	TCGA-A6-5665-11A-01R-1653-07	unc.edu.0eb5967b-472f-446b-8b04-a6c7480b166a.1802859.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5665-11	TCGA-A6-5665-11A-01R-1653-07	unc.edu.0eb5967b-472f-446b-8b04-a6c7480b166a.1802874.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5665-11	TCGA-A6-5665-11A-01R-1653-07	unc.edu.0eb5967b-472f-446b-8b04-a6c7480b166a.1802875.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5665-11	TCGA-A6-5665-11A-01R-1653-07	unc.edu.0eb5967b-472f-446b-8b04-a6c7480b166a.1803039.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6605-11	TCGA-AZ-6605-11A-01R-1839-07	unc.edu.127842a2-ceb2-40c7-9c74-c720682f96cd.1874059.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6605-11	TCGA-AZ-6605-11A-01R-1839-07	unc.edu.127842a2-ceb2-40c7-9c74-c720682f96cd.1874655.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6605-11	TCGA-AZ-6605-11A-01R-1839-07	unc.edu.127842a2-ceb2-40c7-9c74-c720682f96cd.1874656.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6605-11	TCGA-AZ-6605-11A-01R-1839-07	unc.edu.127842a2-ceb2-40c7-9c74-c720682f96cd.1874689.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6605-11	TCGA-AZ-6605-11A-01R-1839-07	unc.edu.127842a2-ceb2-40c7-9c74-c720682f96cd.1874690.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6605-11	TCGA-AZ-6605-11A-01R-1839-07	unc.edu.127842a2-ceb2-40c7-9c74-c720682f96cd.1874870.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2675-01	TCGA-A6-2675-01A-02R-1723-07	unc.edu.1493b166-ffc2-4689-8b77-a8b972b6dbc0.1784528.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2675-01	TCGA-A6-2675-01A-02R-1723-07	unc.edu.1493b166-ffc2-4689-8b77-a8b972b6dbc0.1784906.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2675-01	TCGA-A6-2675-01A-02R-1723-07	unc.edu.1493b166-ffc2-4689-8b77-a8b972b6dbc0.1784907.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2675-01	TCGA-A6-2675-01A-02R-1723-07	unc.edu.1493b166-ffc2-4689-8b77-a8b972b6dbc0.1784918.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2675-01	TCGA-A6-2675-01A-02R-1723-07	unc.edu.1493b166-ffc2-4689-8b77-a8b972b6dbc0.1784921.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2675-01	TCGA-A6-2675-01A-02R-1723-07	unc.edu.1493b166-ffc2-4689-8b77-a8b972b6dbc0.1785260.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2685-11	TCGA-A6-2685-11A-01R-A32Z-07	unc.edu.16cdf5cd-439a-4b8a-b1b5-9887c910cdc1.2283154.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2685-11	TCGA-A6-2685-11A-01R-A32Z-07	unc.edu.16cdf5cd-439a-4b8a-b1b5-9887c910cdc1.2283600.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2685-11	TCGA-A6-2685-11A-01R-A32Z-07	unc.edu.16cdf5cd-439a-4b8a-b1b5-9887c910cdc1.2283601.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2685-11	TCGA-A6-2685-11A-01R-A32Z-07	unc.edu.16cdf5cd-439a-4b8a-b1b5-9887c910cdc1.2283613.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2685-11	TCGA-A6-2685-11A-01R-A32Z-07	unc.edu.16cdf5cd-439a-4b8a-b1b5-9887c910cdc1.2283614.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2685-11	TCGA-A6-2685-11A-01R-A32Z-07	unc.edu.16cdf5cd-439a-4b8a-b1b5-9887c910cdc1.2283732.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6603-11	TCGA-AZ-6603-11A-02R-1839-07	unc.edu.19cc121b-759b-4368-8a98-b0bd8cf7269a.1873919.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6603-11	TCGA-AZ-6603-11A-02R-1839-07	unc.edu.19cc121b-759b-4368-8a98-b0bd8cf7269a.1874563.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6603-11	TCGA-AZ-6603-11A-02R-1839-07	unc.edu.19cc121b-759b-4368-8a98-b0bd8cf7269a.1874564.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6603-11	TCGA-AZ-6603-11A-02R-1839-07	unc.edu.19cc121b-759b-4368-8a98-b0bd8cf7269a.1874580.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6603-11	TCGA-AZ-6603-11A-02R-1839-07	unc.edu.19cc121b-759b-4368-8a98-b0bd8cf7269a.1874581.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6603-11	TCGA-AZ-6603-11A-02R-1839-07	unc.edu.19cc121b-759b-4368-8a98-b0bd8cf7269a.1874745.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3663-11	TCGA-AA-3663-11A-01R-1723-07	unc.edu.29a63711-6e49-4659-a7e0-8e8fef23a941.1784403.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3663-11	TCGA-AA-3663-11A-01R-1723-07	unc.edu.29a63711-6e49-4659-a7e0-8e8fef23a941.1784879.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3663-11	TCGA-AA-3663-11A-01R-1723-07	unc.edu.29a63711-6e49-4659-a7e0-8e8fef23a941.1784880.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3663-11	TCGA-AA-3663-11A-01R-1723-07	unc.edu.29a63711-6e49-4659-a7e0-8e8fef23a941.1784890.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3663-11	TCGA-AA-3663-11A-01R-1723-07	unc.edu.29a63711-6e49-4659-a7e0-8e8fef23a941.1784893.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3663-11	TCGA-AA-3663-11A-01R-1723-07	unc.edu.29a63711-6e49-4659-a7e0-8e8fef23a941.1785254.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2675-11	TCGA-A6-2675-11A-01R-1723-07	unc.edu.2fd204da-a117-4329-a2f3-41bc869b1ee1.1784718.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2675-11	TCGA-A6-2675-11A-01R-1723-07	unc.edu.2fd204da-a117-4329-a2f3-41bc869b1ee1.1784984.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2675-11	TCGA-A6-2675-11A-01R-1723-07	unc.edu.2fd204da-a117-4329-a2f3-41bc869b1ee1.1784985.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2675-11	TCGA-A6-2675-11A-01R-1723-07	unc.edu.2fd204da-a117-4329-a2f3-41bc869b1ee1.1784997.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2675-11	TCGA-A6-2675-11A-01R-1723-07	unc.edu.2fd204da-a117-4329-a2f3-41bc869b1ee1.1784998.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2675-11	TCGA-A6-2675-11A-01R-1723-07	unc.edu.2fd204da-a117-4329-a2f3-41bc869b1ee1.1785265.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2684-11	TCGA-A6-2684-11A-01R-A32Z-07	unc.edu.47adb423-3e97-4d73-86ab-3daafc157f5f.2283167.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2684-11	TCGA-A6-2684-11A-01R-A32Z-07	unc.edu.47adb423-3e97-4d73-86ab-3daafc157f5f.2283542.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2684-11	TCGA-A6-2684-11A-01R-A32Z-07	unc.edu.47adb423-3e97-4d73-86ab-3daafc157f5f.2283543.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2684-11	TCGA-A6-2684-11A-01R-A32Z-07	unc.edu.47adb423-3e97-4d73-86ab-3daafc157f5f.2283557.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2684-11	TCGA-A6-2684-11A-01R-A32Z-07	unc.edu.47adb423-3e97-4d73-86ab-3daafc157f5f.2283558.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2684-11	TCGA-A6-2684-11A-01R-A32Z-07	unc.edu.47adb423-3e97-4d73-86ab-3daafc157f5f.2283652.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5662-01	TCGA-A6-5662-01A-01R-1653-07	unc.edu.4e92fe80-4985-4b69-bab6-aece3c61c695.1804293.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5662-01	TCGA-A6-5662-01A-01R-1653-07	unc.edu.4e92fe80-4985-4b69-bab6-aece3c61c695.1804713.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5662-01	TCGA-A6-5662-01A-01R-1653-07	unc.edu.4e92fe80-4985-4b69-bab6-aece3c61c695.1804714.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5662-01	TCGA-A6-5662-01A-01R-1653-07	unc.edu.4e92fe80-4985-4b69-bab6-aece3c61c695.1804736.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5662-01	TCGA-A6-5662-01A-01R-1653-07	unc.edu.4e92fe80-4985-4b69-bab6-aece3c61c695.1804737.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-5662-01	TCGA-A6-5662-01A-01R-1653-07	unc.edu.4e92fe80-4985-4b69-bab6-aece3c61c695.1804872.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6605-01	TCGA-AZ-6605-01A-11R-1839-07	unc.edu.590576e0-24f2-4e70-8fd9-406fdc4dff5e.1874044.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6605-01	TCGA-AZ-6605-01A-11R-1839-07	unc.edu.590576e0-24f2-4e70-8fd9-406fdc4dff5e.1874589.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6605-01	TCGA-AZ-6605-01A-11R-1839-07	unc.edu.590576e0-24f2-4e70-8fd9-406fdc4dff5e.1874590.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6605-01	TCGA-AZ-6605-01A-11R-1839-07	unc.edu.590576e0-24f2-4e70-8fd9-406fdc4dff5e.1874608.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6605-01	TCGA-AZ-6605-01A-11R-1839-07	unc.edu.590576e0-24f2-4e70-8fd9-406fdc4dff5e.1874609.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AZ-6605-01	TCGA-AZ-6605-01A-11R-1839-07	unc.edu.590576e0-24f2-4e70-8fd9-406fdc4dff5e.1874748.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3489-01	TCGA-AA-3489-01A-21R-1839-07	unc.edu.5a6fa767-e7be-418d-afec-ab806dd0796b.1869274.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3489-01	TCGA-AA-3489-01A-21R-1839-07	unc.edu.5a6fa767-e7be-418d-afec-ab806dd0796b.1869718.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3489-01	TCGA-AA-3489-01A-21R-1839-07	unc.edu.5a6fa767-e7be-418d-afec-ab806dd0796b.1869719.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3489-01	TCGA-AA-3489-01A-21R-1839-07	unc.edu.5a6fa767-e7be-418d-afec-ab806dd0796b.1869755.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3489-01	TCGA-AA-3489-01A-21R-1839-07	unc.edu.5a6fa767-e7be-418d-afec-ab806dd0796b.1869756.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3489-01	TCGA-AA-3489-01A-21R-1839-07	unc.edu.5a6fa767-e7be-418d-afec-ab806dd0796b.1869818.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2686-01	TCGA-A6-2686-01A-01R-A32Z-07	unc.edu.5b345610-029c-40b8-b39a-7d6657a6866e.2283066.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2686-01	TCGA-A6-2686-01A-01R-A32Z-07	unc.edu.5b345610-029c-40b8-b39a-7d6657a6866e.2283478.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2686-01	TCGA-A6-2686-01A-01R-A32Z-07	unc.edu.5b345610-029c-40b8-b39a-7d6657a6866e.2283479.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2686-01	TCGA-A6-2686-01A-01R-A32Z-07	unc.edu.5b345610-029c-40b8-b39a-7d6657a6866e.2283491.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2686-01	TCGA-A6-2686-01A-01R-A32Z-07	unc.edu.5b345610-029c-40b8-b39a-7d6657a6866e.2283492.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-A6-2686-01	TCGA-A6-2686-01A-01R-A32Z-07	unc.edu.5b345610-029c-40b8-b39a-7d6657a6866e.2283516.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3655-11	TCGA-AA-3655-11A-01R-1723-07	unc.edu.5dce6ab3-c24f-4de9-ba94-6b9589e87735.1784831.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3655-11	TCGA-AA-3655-11A-01R-1723-07	unc.edu.5dce6ab3-c24f-4de9-ba94-6b9589e87735.1785074.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3655-11	TCGA-AA-3655-11A-01R-1723-07	unc.edu.5dce6ab3-c24f-4de9-ba94-6b9589e87735.1785075.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3655-11	TCGA-AA-3655-11A-01R-1723-07	unc.edu.5dce6ab3-c24f-4de9-ba94-6b9589e87735.1785095.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3655-11	TCGA-AA-3655-11A-01R-1723-07	unc.edu.5dce6ab3-c24f-4de9-ba94-6b9589e87735.1785098.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3655-11	TCGA-AA-3655-11A-01R-1723-07	unc.edu.5dce6ab3-c24f-4de9-ba94-6b9589e87735.1785259.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3496-11	TCGA-AA-3496-11A-01R-1839-07	unc.edu.697581bc-95f3-4745-be85-17e8d81a6e89.1860204.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3496-11	TCGA-AA-3496-11A-01R-1839-07	unc.edu.697581bc-95f3-4745-be85-17e8d81a6e89.1860511.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3496-11	TCGA-AA-3496-11A-01R-1839-07	unc.edu.697581bc-95f3-4745-be85-17e8d81a6e89.1860512.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3496-11	TCGA-AA-3496-11A-01R-1839-07	unc.edu.697581bc-95f3-4745-be85-17e8d81a6e89.1860534.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3496-11	TCGA-AA-3496-11A-01R-1839-07	unc.edu.697581bc-95f3-4745-be85-17e8d81a6e89.1860538.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3496-11	TCGA-AA-3496-11A-01R-1839-07	unc.edu.697581bc-95f3-4745-be85-17e8d81a6e89.1860706.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3655-01	TCGA-AA-3655-01A-02R-1723-07	unc.edu.6d26af33-f181-4b3f-95b9-ac3c15c96592.1784799.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3655-01	TCGA-AA-3655-01A-02R-1723-07	unc.edu.6d26af33-f181-4b3f-95b9-ac3c15c96592.1785027.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3655-01	TCGA-AA-3655-01A-02R-1723-07	unc.edu.6d26af33-f181-4b3f-95b9-ac3c15c96592.1785028.rsem.isoforms.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3655-01	TCGA-AA-3655-01A-02R-1723-07	unc.edu.6d26af33-f181-4b3f-95b9-ac3c15c96592.1785040.rsem.isoforms.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3655-01	TCGA-AA-3655-01A-02R-1723-07	unc.edu.6d26af33-f181-4b3f-95b9-ac3c15c96592.1785043.rsem.genes.normalized_results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-AA-3655-01	TCGA-AA-3655-01A-02R-1723-07	unc.edu.6d26af33-f181-4b3f-95b9-ac3c15c96592.1785261.bt.exon_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-F4-6704-11	TCGA-F4-6704-11A-01R-1839-07	unc.edu.724fedca-f875-401a-9b21-cbcd86002200.1861697.junction_quantification.txt
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-F4-6704-11	TCGA-F4-6704-11A-01R-1839-07	unc.edu.724fedca-f875-401a-9b21-cbcd86002200.1861932.rsem.genes.results
RNASeqV2	UNC	IlluminaHiSeq_RNASeqV2	3	TCGA-F4-6704-11	TCGA-F4-6704-11A-01R-1839-07	unc.edu.724fedca-f875-401a-9b21-cbcd86002200.1861933.rsem.isoforms.results
